,id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1049,22587726,Mount Pleasant,49.26578,-123.09339,Entire home/apt,,2,47,0.65,1,0,0,19-163857
1050,22618949,Kensington-Cedar Cottage,49.25133,-123.06182,Entire home/apt,,10,21,0.32,1,0,2,22-156131
1051,22631875,Kensington-Cedar Cottage,49.23591,-123.07813,Entire home/apt,,2,36,0.51,1,0,0,18-580983
1052,22654289,Kensington-Cedar Cottage,49.25852,-123.0697,Private room,57.0,30,26,0.37,2,29,5,Exempt
1053,22659767,Fairview,49.26182,-123.12821,Entire home/apt,100.0,30,18,0.27,30,261,3,nan
1054,22659967,Fairview,49.26146,-123.12623,Entire home/apt,105.0,30,15,0.21,30,181,2,nan
1055,22660264,Kensington-Cedar Cottage,49.2603,-123.07149,Entire home/apt,67.0,30,31,0.44,2,30,4,Exempt
1056,22692270,Downtown,49.27268,-123.12848,Entire home/apt,176.0,30,36,0.51,1,153,3,nan
1057,22696589,Downtown Eastside,49.27759,-123.08576,Private room,110.0,3,125,1.77,2,127,28,23-156542
1058,22698900,West Point Grey,49.26226,-123.20874,Entire home/apt,128.0,5,141,1.97,1,275,21,23-156349
1059,22700703,Riley Park,49.24757,-123.10317,Entire home/apt,,365,0,,1,0,0,nan
1060,22702051,West End,49.28427,-123.12747,Entire home/apt,129.0,30,0,,6,89,0,nan
1061,22702574,Mount Pleasant,49.26175,-123.08837,Entire home/apt,,2,13,0.19,1,0,3,19-214453
1062,22713698,Hastings-Sunrise,49.2839,-123.04736,Entire home/apt,,3,5,0.08,1,0,0,18-607917
1063,22718778,Kensington-Cedar Cottage,49.2531,-123.08731,Entire home/apt,99.0,4,76,1.07,1,0,0,22-156257
1064,22729409,Fairview,49.26172,-123.13058,Private room,98.0,2,197,2.76,1,0,24,22-155972
1065,22735501,Mount Pleasant,49.27265,-123.10265,Private room,,2,112,1.58,1,0,0,18-551288
1066,22754630,Mount Pleasant,49.261452,-123.098,Entire home/apt,145.0,1,158,2.22,1,339,20,23-177900
1067,22817433,Downtown,49.27189,-123.12569,Entire home/apt,,3,44,0.62,1,0,0,18-588190
1068,22850980,Kensington-Cedar Cottage,49.24684,-123.08154,Entire home/apt,80.0,2,196,2.75,1,25,34,23-156354
1069,22851367,Downtown Eastside,49.27714,-123.09881,Entire home/apt,,10,12,0.17,1,0,0,19-161584
1070,22903375,Fairview,49.26017,-123.12838,Entire home/apt,120.0,30,9,0.13,30,236,1,nan
1071,22904512,Victoria-Fraserview,49.22451,-123.0597,Entire home/apt,,1,117,1.65,1,0,1,20-160505
1072,22905570,Fairview,49.26204,-123.12803,Entire home/apt,100.0,30,11,0.16,30,290,3,nan
1073,22925127,Kitsilano,49.27401,-123.14656,Entire home/apt,175.0,3,281,3.99,1,138,51,22-156330
1074,22943194,Downtown,49.28021,-123.12512,Entire home/apt,132.0,1,403,5.73,1,0,74,23-157522
1075,22973593,Hastings-Sunrise,49.27646,-123.04581,Entire home/apt,,7,2,0.03,1,0,0,19-162112
1076,23002913,Marpole,49.20875,-123.11862,Entire home/apt,175.0,2,154,2.24,2,0,35,22-155917
1077,23003777,West Point Grey,49.25962,-123.18928,Entire home/apt,125.0,30,36,0.51,1,325,2,19-262946
1078,23020307,South Cambie,49.25403,-123.11908,Entire home/apt,,2,41,0.59,1,0,0,#19-230581
1079,23056643,Renfrew-Collingwood,49.25229,-123.0525,Private room,,1,33,0.47,3,0,13,19-163438
1080,23062160,Arbutus Ridge,49.24287,-123.1536,Entire home/apt,,3,3,0.05,1,0,0,19-160976
1081,23065393,Mount Pleasant,49.266361236572266,-123.11125946044922,Private room,154.0,2,64,0.91,3,351,25,18-549495
1082,23078420,Renfrew-Collingwood,49.25162,-123.05272,Private room,,1,15,0.21,3,0,2,19-163438
1083,23111130,Downtown,49.27906,-123.12552,Entire home/apt,399.0,2,107,1.5,6,179,2,22-157254
1084,23121835,Shaughnessy,49.24853,-123.13645,Entire home/apt,215.0,1,75,1.15,2,325,25,22-156045
1085,23125839,Kitsilano,49.26965,-123.18132,Entire home/apt,485.0,7,3,0.05,1,0,0,22-156232
1086,23125977,Downtown,49.27962,-123.12405,Entire home/apt,200.0,3,222,3.28,1,0,43,21-156503
1087,23126012,Victoria-Fraserview,49.2316,-123.0628,Entire home/apt,185.0,2,159,2.32,1,74,12,23-224228
1088,23144970,West End,49.28572,-123.13395,Private room,65.0,30,76,1.08,10,159,4,19-162160
1089,23161454,Kitsilano,49.27446,-123.15086,Entire home/apt,949.0,4,87,1.24,1,120,10,22-155902
1090,23172118,Fairview,49.26001,-123.12607,Entire home/apt,100.0,30,20,0.28,30,262,4,nan
1091,23188025,Downtown,49.28146,-123.11406,Private room,139.0,1,8,0.12,6,0,0,23-143223
1092,23205966,Downtown,49.27433,-123.1261,Entire home/apt,240.0,30,6,0.1,41,341,4,nan
1093,23218832,Marpole,49.21007,-123.12755,Private room,,1,141,2.0,1,0,0,20-160102
1094,23231348,West End,49.2827,-123.13875,Entire home/apt,,2,15,0.22,1,0,0,19-162885
1095,23237255,Shaughnessy,49.24699,-123.1379,Private room,114.0,1,61,0.9,3,333,32,22-156045
1096,23241231,West End,49.28573,-123.12514,Entire home/apt,190.0,30,64,0.91,2,135,8,20-160878
1097,23274503,Downtown,49.27732,-123.12063,Entire home/apt,199.0,90,9,0.13,1,213,0,nan
1098,23305871,Riley Park,49.24639,-123.10578,Entire home/apt,90.0,30,7,0.1,1,221,0,18-499324
1099,23310375,Grandview-Woodland,49.26288,-123.06293,Entire home/apt,,5,25,0.35,1,0,0,20-159923
1100,23340054,Downtown,49.27657,-123.12347,Entire home/apt,125.0,30,23,0.35,2,297,6,Exempt
1101,23370526,Kitsilano,49.260679888094806,-123.1664723587952,Entire home/apt,185.0,3,28,4.47,1,234,28,23-211827
1102,23393580,Mount Pleasant,49.26878,-123.10078,Entire home/apt,,2,57,0.81,1,0,0,21-156440
1103,23413748,Grandview-Woodland,49.27919,-123.06538,Private room,,30,0,,1,0,0,nan
1104,23432805,Mount Pleasant,49.26895,-123.1083,Entire home/apt,500.0,30,26,0.43,1,153,0,19-163901
1105,23436663,Dunbar Southlands,49.24178,-123.17688,Entire home/apt,,1,51,0.73,1,0,0,18-592409
1106,23467327,Shaughnessy,49.25755,-123.13586,Entire home/apt,97.0,30,6,0.24,1,13,2,nan
1107,23481782,Riley Park,49.24032,-123.10135,Private room,70.0,30,23,0.34,6,73,6,23-156290
1108,23482505,Fairview,49.25985,-123.12793,Entire home/apt,100.0,30,16,0.24,30,275,4,nan
1109,23482800,Fairview,49.26146,-123.12646,Entire home/apt,125.0,30,14,0.21,30,80,3,nan
1110,23485127,Kitsilano,49.26746,-123.18358,Entire home/apt,250.0,2,91,1.4,1,71,20,23-158163
1111,23487994,Shaughnessy,49.23871,-123.1462,Entire home/apt,92.0,1,362,5.28,3,0,61,23-156319
1112,23502564,Downtown Eastside,49.27985,-123.08039,Entire home/apt,185.0,4,124,1.76,1,280,21,23-156308
1113,23507938,Riley Park,49.24922,-123.10643,Entire home/apt,160.0,5,52,0.78,1,99,15,23-156708
1114,23519364,Downtown,49.28082,-123.10843,Entire home/apt,,2,48,0.71,1,0,0,19-161671
1115,23527106,Strathcona,49.27341,-123.09975,Entire home/apt,,3,21,0.3,1,0,6,23-156364
1116,23528634,West End,49.28642,-123.1341,Private room,70.0,30,61,0.87,10,179,5,19-162160
1117,23546911,West End,49.28402,-123.12917,Entire home/apt,250.0,100,112,1.66,7,365,0,nan
1118,23547808,Grandview-Woodland,49.27071,-123.06682,Entire home/apt,400.0,2,16,0.24,1,162,7,23-156494
1119,23559355,Downtown,49.27384567260742,-123.12692260742188,Entire home/apt,250.0,30,9,0.17,41,274,4,nan
1120,23563987,West End,49.28464672849994,-123.14188066372996,Entire home/apt,,7,39,0.56,1,0,5,22-171359
1121,23576621,Mount Pleasant,49.26986,-123.10616,Entire home/apt,150.0,30,12,0.18,1,11,5,23-176210
1122,23578800,Downtown,49.27384567260742,-123.12692260742188,Entire home/apt,250.0,30,6,0.09,41,342,3,nan
1123,23583730,Riley Park,49.2336,-123.10971,Private room,,2,8,0.12,1,0,0,19-179739
1124,23593694,Grandview-Woodland,49.28936,-123.0583,Entire home/apt,140.0,30,0,,1,180,0,nan
1125,23615592,Downtown,49.27502,-123.12715,Entire home/apt,270.0,30,4,0.06,41,342,2,nan
1126,23615744,Downtown,49.27384567260742,-123.12692260742188,Entire home/apt,270.0,30,3,0.19,41,256,1,nan
1127,23615892,Downtown,49.27384567260742,-123.12692260742188,Entire home/apt,270.0,30,2,0.04,41,256,0,nan
1128,23616175,Downtown,49.27384567260742,-123.12692260742188,Entire home/apt,395.0,31,1,0.04,41,332,0,nan
1129,23631177,Downtown,49.27539,-123.13316,Entire home/apt,135.0,5,114,1.66,42,89,21,#23-157177
1130,23667593,Hastings-Sunrise,49.27574,-123.03745,Entire home/apt,599.0,3,66,0.95,1,317,17,22-157243
1131,23672204,Killarney,49.22509,-123.03591,Entire home/apt,,1,112,1.6,1,0,0,20-159964
1132,23769826,Mount Pleasant,49.27024,-123.10181,Entire home/apt,129.0,30,52,0.74,1,0,1,nan
1133,23771188,Downtown,49.28389,-123.11562,Entire home/apt,160.0,30,0,,2,365,0,nan
1134,23773053,Downtown Eastside,49.2833,-123.10495,Entire home/apt,150.0,60,27,0.39,1,71,1,nan
1135,23800634,Kerrisdale,49.2324,-123.15844,Entire home/apt,225.0,3,66,0.96,1,329,10,21-156375
1136,23816739,Riley Park,49.23498,-123.09053,Private room,,1,2,0.03,2,0,0,19-163539
1137,23822741,West End,49.28518,-123.13326,Private room,68.0,30,54,0.79,10,147,3,19-162160
1138,23862530,Kensington-Cedar Cottage,49.24988,-123.0721,Entire home/apt,300.0,5,7,0.11,1,16,3,21-156564
1139,23885617,Mount Pleasant,49.26873,-123.10876,Entire home/apt,55.0,31,133,1.91,1,91,5,21-163602
1140,23902297,South Cambie,49.2546,-123.12656,Private room,30.0,30,1,0.16,2,315,1,nan
1141,23916822,Kitsilano,49.26652,-123.18185,Entire home/apt,170.0,7,55,0.83,1,224,30,23-158262
1142,23949937,Shaughnessy,49.23802,-123.12828,Private room,,1,75,1.08,1,0,0,18-551880
1143,23976574,Mount Pleasant,49.26844,-123.109,Entire home/apt,125.0,30,42,0.62,2,153,2,21-105100
1144,23976814,Mount Pleasant,49.27079,-123.10741,Entire home/apt,105.0,30,80,1.17,2,62,3,21-105100
1145,23981929,Kitsilano,49.26513,-123.16712,Entire home/apt,,2,250,3.75,2,0,57,22-199685
1146,23991651,Kitsilano,49.26417,-123.16089,Entire home/apt,366.0,8,12,0.18,1,84,3,18-569987
1147,24024651,Oakridge,49.22203,-123.11669,Entire home/apt,,2,35,0.5,2,0,0,20160053
1148,24066686,Fairview,49.26163,-123.12808,Entire home/apt,115.0,30,11,0.17,30,338,2,nan
1149,24066913,Fairview,49.26158,-123.12615,Entire home/apt,100.0,30,6,0.11,30,243,0,nan
1150,24088415,Oakridge,49.22481,-123.11777,Entire home/apt,,2,47,0.68,2,0,0,20160053
1151,24119846,Kitsilano,49.2733,-123.15572,Private room,97.0,30,15,0.23,1,313,3,nan
1152,24133046,Downtown Eastside,49.28244,-123.08245,Entire home/apt,,2,77,2.72,1,0,30,23-157450
1153,24134940,Riley Park,49.24891,-123.09959,Entire home/apt,460.0,4,42,0.62,1,166,2,23-156326
1154,24140085,Grandview-Woodland,49.28032,-123.05944,Entire home/apt,400.0,5,7,0.11,1,0,2,nan
1155,24160835,Downtown,49.2778,-123.12404,Entire home/apt,99.0,30,30,0.44,1,61,7,nan
1156,24167131,West End,49.2867,-123.12599,Entire home/apt,142.0,31,12,0.19,3,259,0,nan
1157,24183385,Riley Park,49.2343,-123.10811,Entire home/apt,995.0,30,64,0.95,2,130,10,nan
1158,24183433,Downtown,49.28861,-123.12006,Entire home/apt,320.0,6,21,0.32,1,32,8,nan
1159,24185448,Kitsilano,49.26837,-123.15531,Entire home/apt,100.0,30,24,0.35,1,121,1,18-559212
1160,24250201,Downtown,49.28327,-123.11642,Entire home/apt,96.0,30,8,0.12,42,180,1,nan
1161,24253909,Dunbar Southlands,49.25533,-123.18469,Private room,120.0,2,91,1.33,1,180,12,23-156361
1162,24265852,Dunbar Southlands,49.24308,-123.17209,Private room,141.0,1,9,0.13,3,185,2,18-567354
1163,24290071,Mount Pleasant,49.26175,-123.09172,Entire home/apt,,1,139,2.03,1,0,26,23-217867
1164,24310129,Riley Park,49.24531,-123.09538,Private room,115.0,3,184,2.68,1,82,18,23-156531
1165,24313445,Downtown Eastside,49.276779,-123.091438,Private room,59.0,1,380,5.51,2,39,82,24-158356
1166,24328404,Downtown,49.27955,-123.12056,Entire home/apt,,31,0,,1,0,0,nan
1167,24337332,Kitsilano,49.26242,-123.17828,Entire home/apt,90.0,5,25,0.37,2,80,0,22-156564
1168,24358269,Killarney,49.23098,-123.03564,Entire home/apt,115.0,1,122,1.79,2,322,25,23-156399
1169,24372539,Downtown,49.28614,-123.12327,Entire home/apt,134.0,1,317,4.62,1,0,58,23-156360
1170,24377235,Downtown,49.27502,-123.12303,Private room,92.0,21,16,0.23,2,336,0,18561738
1171,24379068,Riley Park,49.24895,-123.09842,Entire home/apt,404.0,2,63,0.95,1,220,13,23-221538
1172,24379576,Downtown,49.27914,-123.12078,Entire home/apt,243.0,4,100,1.46,1,106,21,23-156275
1173,24391564,Mount Pleasant,49.27193,-123.10172,Entire home/apt,,180,0,,1,0,0,nan
1174,24396414,Downtown,49.27873,-123.10729,Entire home/apt,125.0,2,39,2.37,1,137,28,23-158419
1175,24413898,Renfrew-Collingwood,49.24881,-123.04398,Entire home/apt,,2,86,1.26,1,0,12,23-156894
1176,24448342,Kerrisdale,49.23357,-123.17007,Entire home/apt,109.0,2,48,0.7,1,64,22,23-263306
1177,24450782,Kitsilano,49.27097,-123.18327,Entire home/apt,105.0,3,221,3.29,2,73,44,23-156719
1178,24454936,Marpole,49.2125,-123.11411,Private room,450.0,3,6,0.11,6,66,2,23-156300
1179,24455362,Marpole,49.21422,-123.11421,Private room,96.0,3,17,0.25,6,73,6,23-156300
1180,24469246,West Point Grey,49.26299,-123.20275,Entire home/apt,,2,8,0.12,1,0,0,18-550139
1181,24474689,Downtown Eastside,49.28182,-123.10361,Entire home/apt,237.0,2,196,2.9,2,337,21,23-156516
1182,24501265,West End,49.28629,-123.125,Entire home/apt,191.0,3,396,5.81,1,21,46,23-156560
1183,24503070,Grandview-Woodland,49.27972,-123.06113,Entire home/apt,400.0,4,13,0.19,1,2,6,18-561800
1184,24517031,Kensington-Cedar Cottage,49.25614,-123.07643,Private room,,1,2,0.03,3,0,0,18-549634
1185,24528249,Marpole,49.21279,-123.11202,Entire home/apt,111.0,1,171,2.59,2,107,31,24-157211
1186,24559993,Downtown,49.27757,-123.13088,Entire home/apt,85.0,30,43,0.63,1,97,6,18-549209
1187,24561319,Victoria-Fraserview,49.21777,-123.06271,Entire home/apt,109.0,1,48,1.75,1,179,17,23-157585
1188,24574485,Downtown,49.28994,-123.12727,Entire home/apt,,30,6,0.09,2,0,1,nan
1189,24634635,Kensington-Cedar Cottage,49.25214,-123.08713,Entire home/apt,,3,2,0.03,1,0,0,18-569070
1190,24646416,Riley Park,49.24618,-123.10192,Entire home/apt,193.0,2,269,3.94,2,0,70,23-156342
1191,24650295,Downtown,49.29074,-123.12746,Entire home/apt,,30,2,0.04,33,0,0,nan
1192,24653941,Downtown Eastside,49.28342339988735,-123.10713609718051,Entire home/apt,191.0,3,10,3.19,1,86,10,23-423128
1193,24658451,Fairview,49.26181,-123.13425,Entire home/apt,,3,3,0.05,1,0,0,18-596187
1194,24671100,Downtown Eastside,49.27893,-123.0827,Entire home/apt,,2,58,0.87,1,0,0,19-184853
1195,24699111,Sunset,49.23011,-123.0903,Entire home/apt,500.0,3,75,1.12,1,165,3,23-251865
1196,24703143,Downtown,49.2791,-123.11925,Entire home/apt,169.0,2,282,4.16,1,66,64,22-157320
1197,24718014,Arbutus Ridge,49.25461,-123.16567,Entire home/apt,,30,4,0.06,4,0,1,nan
1198,24738177,Kensington-Cedar Cottage,49.2575,-123.0569,Entire home/apt,,4,3,0.04,1,0,0,18-554211
1199,24755125,Arbutus Ridge,49.2424,-123.16399,Entire home/apt,220.0,2,38,0.72,1,89,20,23-158404
1200,24756081,Kitsilano,49.26851,-123.15162,Entire home/apt,190.0,2,178,2.63,1,0,43,23-156409
1201,24759144,Shaughnessy,49.24818,-123.13609,Private room,124.0,1,77,1.13,3,341,33,22-156045
1202,24797319,Riley Park,49.24476,-123.09356,Entire home/apt,,3,8,0.12,1,0,0,18-557-163
1203,24801728,Grandview-Woodland,49.26871,-123.05945,Entire home/apt,,3,3,0.05,1,0,0,18-557384
1204,24809164,Hastings-Sunrise,49.27343,-123.03806,Entire home/apt,150.0,2,111,1.63,1,32,21,20-159898
1205,24832706,Shaughnessy,49.25356,-123.14052,Entire home/apt,,3,75,1.11,2,0,0,20159947
1206,24835418,Grandview-Woodland,49.27264,-123.06388,Entire home/apt,218.0,3,198,2.96,1,167,31,23-156396
1207,24853244,Grandview-Woodland,49.27277,-123.06192,Private room,,4,6,0.09,1,0,0,18-550384
1208,24874294,Dunbar Southlands,49.25236,-123.18453,Private room,,2,17,0.26,1,0,0,18-582983
1209,24886919,Downtown,49.28041,-123.1249,Entire home/apt,,2,8,0.12,1,0,0,19-161708
1210,24895883,Kensington-Cedar Cottage,49.25204,-123.06112,Entire home/apt,,4,4,0.06,1,0,0,19-161614
1211,24896061,Downtown,49.2804,-123.12469,Entire home/apt,260.0,3,69,1.13,1,0,15,23-156403
1212,24918275,Fairview,49.26196,-123.12665,Entire home/apt,135.0,30,9,0.14,30,233,1,1855
1213,24920942,West End,49.28927,-123.13857,Entire home/apt,,2,3,0.05,1,0,0,19-162620
1214,24946435,Downtown,49.27887,-123.10727,Entire home/apt,288.0,3,124,1.84,1,362,30,23-156400
1215,24946452,Kensington-Cedar Cottage,49.25446125968743,-123.08064978659344,Entire home/apt,150.0,30,0,,1,142,0,22-280973
1216,24948099,Hastings-Sunrise,49.28201,-123.05644,Private room,,4,1,0.02,3,0,0,18-613047
1217,24961531,Downtown,49.28078,-123.12474,Entire home/apt,125.0,30,19,0.29,2,225,4,Exempt
1218,24968566,Hastings-Sunrise,49.29005,-123.0551,Private room,89.0,3,94,1.39,1,168,8,21-156100
1219,24972517,Arbutus Ridge,49.25628,-123.17667,Entire home/apt,799.0,2,174,2.57,1,0,35,23-156284
1220,24983102,Kitsilano,49.26297,-123.14766,Entire home/apt,187.0,30,1,0.06,1,180,0,nan
1221,24993810,Downtown,49.28106,-123.12318,Entire home/apt,140.0,30,7,0.11,12,297,1,nan
1222,25015037,Arbutus Ridge,49.25486,-123.15365,Private room,57.0,1,0,,2,77,0,18-561668
1223,25074332,Fairview,49.26196,-123.12688,Entire home/apt,100.0,30,11,0.18,30,272,1,18-556861
1224,25076407,Hastings-Sunrise,49.27696,-123.02632,Private room,120.0,30,20,0.3,4,89,3,20-160115
1225,25080824,Kensington-Cedar Cottage,49.25586,-123.07623,Entire home/apt,,3,1,0.02,3,0,0,18-549634
1226,25087027,Kensington-Cedar Cottage,49.23362,-123.07861,Private room,65.0,1,344,5.07,1,34,74,23-156627
1227,25102944,Kensington-Cedar Cottage,49.25898,-123.06895,Entire home/apt,121.0,2,405,5.97,1,329,86,24-157331
1228,25109301,West End,49.28627,-123.12757,Entire home/apt,,1,23,0.36,2,0,0,19-162577
1229,25129693,Riley Park,49.25278,-123.11125,Entire home/apt,500.0,3,9,1.44,1,32,9,23-238197
1230,25142791,Grandview-Woodland,49.27416,-123.06224,Entire home/apt,95.0,2,156,2.48,1,9,17,22-156522
1231,25157667,Riley Park,49.24383,-123.09361,Entire home/apt,100.0,30,3,0.05,1,255,0,18-474863
1232,25166793,Kitsilano,49.26811,-123.16668,Entire home/apt,181.0,3,218,3.29,1,261,53,23-156425
1233,25168981,Marpole,49.20659,-123.11822,Private room,90.0,2,182,2.69,2,355,26,23-156289
1234,25181840,Fairview,49.25998,-123.12644,Entire home/apt,100.0,30,15,0.23,30,244,3,nan
1235,25193115,Dunbar Southlands,49.23426,-123.20294,Private room,,2,50,0.74,2,0,0,19-161825
1236,25193768,Hastings-Sunrise,49.29192,-123.04486,Entire home/apt,98.0,30,42,0.63,1,263,4,19-161594
1237,25216365,Downtown,49.27795,-123.11706,Entire home/apt,145.0,29,32,0.48,2,166,6,18-574425
1238,25234314,Downtown,49.27891,-123.123,Entire home/apt,122.0,1,297,4.68,1,65,75,23-156746
1239,25256952,Dunbar Southlands,49.24477,-123.17147,Private room,119.0,1,0,,3,99,0,19-161659
1240,25264363,Dunbar Southlands,49.23403,-123.1913,Entire home/apt,,2,8,0.12,1,0,0,18-567427
1241,25270770,Oakridge,49.22632,-123.11572,Private room,72.0,3,303,4.52,3,48,83,23-156452
1242,25314294,Fairview,49.25997,-123.1276,Entire home/apt,100.0,30,17,0.26,30,293,3,nan
1243,25320714,Riley Park,49.24234,-123.09658,Entire home/apt,300.0,4,3,0.26,1,184,3,23-158641
1244,25346154,Downtown,49.2766,-123.12696,Entire home/apt,210.0,30,4,0.09,1,341,0,nan
1245,25352164,West End,49.27672,-123.1347,Entire home/apt,,1,73,1.08,1,0,0,18-565830
1246,25352392,Shaughnessy,49.25711,-123.15114,Entire home/apt,486.0,14,56,0.86,1,57,4,23-156502
1247,25369132,Downtown,49.28834,-123.12292,Entire home/apt,194.0,2,206,3.09,1,48,51,23-156406
1248,25412425,West End,49.28607,-123.13694,Private room,350.0,3,84,1.4,1,130,24,23-221093
1249,25432407,Kensington-Cedar Cottage,49.23578,-123.06114,Private room,65.0,3,0,,1,0,0,Exempt
1250,25479410,Downtown,49.27892,-123.11946,Entire home/apt,,2,9,0.14,1,0,0,Exempt
1251,25492892,Arbutus Ridge,49.25431,-123.15568,Entire home/apt,200.0,30,7,0.1,1,171,0,19-161762
1252,25514583,Downtown,49.28041,-123.12469,Entire home/apt,139.0,1,310,4.63,1,89,90,23-157321
1253,25521321,Riley Park,49.25556,-123.09971,Entire home/apt,,2,1,0.01,1,0,0,In process
1254,25549877,Oakridge,49.22632,-123.11572,Private room,71.0,3,305,4.54,3,35,96,23-156452
1255,25618187,Oakridge,49.22598,-123.11432,Private room,65.0,30,23,0.38,20,82,0,20-159828
1256,25670128,Hastings-Sunrise,49.27834,-123.0267,Private room,120.0,30,16,0.24,4,89,3,20-160115
1257,25670214,Hastings-Sunrise,49.27867,-123.02488,Private room,119.0,30,32,0.49,4,89,6,20-160115
1258,25731269,Kensington-Cedar Cottage,49.2506,-123.07084,Entire home/apt,88.0,2,283,4.31,1,145,66,23-156526
1259,25747863,Downtown,49.27562,-123.13298,Entire home/apt,271.0,30,4,0.24,1,331,2,nan
1260,25749994,Fairview,49.2655,-123.14134,Entire home/apt,,4,3,0.05,1,0,0,18-575286
1261,25750741,Grandview-Woodland,49.27114,-123.07216,Entire home/apt,,5,14,0.21,1,0,3,19-161854
1262,25751097,Marpole,49.21307,-123.13501,Private room,65.0,2,50,0.74,3,31,15,23-265052
1263,25752951,Oakridge,49.22632,-123.11572,Private room,49.0,6,212,3.16,3,33,48,23-156452
1264,25808265,Kensington-Cedar Cottage,49.23683,-123.08845,Entire home/apt,,2,1,0.02,1,0,0,18-575782
1265,25811044,Shaughnessy,49.25584,-123.14139,Entire home/apt,,3,99,1.48,2,0,0,20-159947
1266,25831764,Hastings-Sunrise,49.2637,-123.03999,Private room,55.0,30,88,1.34,8,40,3,21-156946
1267,25841119,Riley Park,49.2492,-123.09115,Entire home/apt,,2,0,,1,0,0,19-259935
1268,25863673,Downtown,49.28594,-123.12242,Entire home/apt,,2,19,0.3,1,0,0,20-159998
1269,25875124,Downtown,49.27588,-123.12391,Entire home/apt,,2,10,0.15,1,0,0,17-982988
1270,25895164,Downtown Eastside,49.28056,-123.09968,Entire home/apt,218.0,3,70,1.08,1,45,17,23-156567
1271,25915148,Arbutus Ridge,49.25578,-123.16912,Entire home/apt,,4,28,0.42,1,0,0,19-161525
1272,25943082,Renfrew-Collingwood,49.23473,-123.03126,Private room,56.0,4,183,2.73,2,283,34,23-156293
1273,25943228,Kitsilano,49.26705175309153,-123.1769489401238,Entire home/apt,321.0,3,24,0.45,1,99,3,23-157871
1274,25944851,West End,49.28997,-123.1372,Entire home/apt,,3,2,0.1,1,0,0,Exempt
1275,25947820,Kitsilano,49.25798,-123.15148,Entire home/apt,115.0,3,188,2.85,1,17,35,23-156506
1276,26007923,Fairview,49.25999,-123.12701,Entire home/apt,100.0,30,11,0.17,30,277,3,18-556861
1277,26034304,Fairview,49.26186,-123.12752,Entire home/apt,115.0,30,10,0.16,30,278,4,nan
1278,26043557,Downtown,49.28211,-123.12338,Entire home/apt,150.0,30,13,0.2,8,222,5,nan
1279,26058626,Mount Pleasant,49.26909,-123.10734,Entire home/apt,89.0,60,54,0.83,1,134,0,19-161997
1280,26127040,Downtown,49.27992,-123.10749,Private room,,3,110,1.65,1,0,0,21-156755
1281,26160268,Mount Pleasant,49.26879,-123.10977,Entire home/apt,,2,13,0.19,1,0,0,18-581389
1282,26191400,Sunset,49.23181,-123.0941,Private room,,1,21,0.31,2,0,0,19-162043
1283,26193323,Kitsilano,49.25852,-123.15032,Entire home/apt,142.0,4,210,3.16,1,0,31,23-156497
1284,26204770,Downtown,49.2795,-123.12098,Private room,52.0,30,119,1.86,6,365,2,19-162253
1285,26231164,Downtown,49.2772,-123.11778,Entire home/apt,89.0,30,1,0.03,1,64,0,nan
1286,26235197,Victoria-Fraserview,49.21378226960226,-123.06733476744492,Entire home/apt,320.0,3,149,2.25,1,69,23,23-156496
1287,26235906,Downtown,49.27732,-123.12025,Entire home/apt,,30,9,0.14,1,0,0,19-105308
1288,26259104,Grandview-Woodland,49.27262,-123.05987,Entire home/apt,,3,3,0.05,1,0,0,18-582837
1289,26284294,Downtown,49.27851,-123.10834,Entire home/apt,331.0,2,188,2.82,1,0,17,23-157287
1290,26295935,Strathcona,49.27005,-123.10021,Entire home/apt,111.0,2,75,1.14,1,42,21,23-210939
1291,26305770,Downtown Eastside,49.28178,-123.10179,Entire home/apt,400.0,3,73,1.11,1,361,19,22-156230
1292,26306399,Marpole,49.21135,-123.10927,Entire home/apt,96.0,1,360,5.6,1,312,78,23-156580
1293,26307955,Kensington-Cedar Cottage,49.24088,-123.06857,Entire home/apt,,2,6,0.09,1,0,0,18-583601
1294,26312844,Kitsilano,49.26249,-123.17031,Private room,81.0,30,23,0.35,2,113,4,18-551755
1295,26323484,Downtown Eastside,49.28137,-123.09992,Entire home/apt,,2,21,0.32,1,0,0,Exempt
1296,26337636,Riley Park,49.2508,-123.10131,Private room,,1,24,0.36,1,0,0,18-589814
1297,26342358,West End,49.28057,-123.13068,Private room,49.0,30,18,0.43,6,29,5,21157396
1298,26356375,Kensington-Cedar Cottage,49.25693,-123.06755,Entire home/apt,,2,47,0.71,1,0,0,19-160929
1299,26365689,Kitsilano,49.271015,-123.184181,Entire home/apt,348.0,5,9,0.14,1,23,4,22-156218
1300,26367350,Kensington-Cedar Cottage,49.24665,-123.06903,Entire home/apt,270.0,5,60,0.94,1,360,5,22-156356
1301,26396039,Downtown,49.28821,-123.12152,Entire home/apt,2113.0,3,0,,30,179,0,20-108266
1302,26396221,Downtown,49.28824,-123.1155,Entire home/apt,834.0,21,1,0.02,30,179,0,18560898
1303,26396327,Downtown,49.27872,-123.12722,Entire home/apt,,2,9,0.14,1,0,1,Exempt
1304,26405239,Downtown,49.27603,-123.11557,Entire home/apt,,2,13,0.2,1,0,0,18-587555
